EV	ER	Voc. Overlap	ENTR	S1	S2	IE_S1	ER_S1	IE_S2	ER_S2	SR/S1/ER	SR/S1/ENTR	SR/S2/ER	SR/S2/ENTR	dialogue_count	mname	history_length	num_samples	weight	topk
0.17	0.33	0.33	0.61	Human 1	Human 2	0.60	0.20	0.40	0.45	0.17	0.72	0.35	0.83	76	microsoft/DialoGPT-small	6	10	175	20
0.17	0.33	0.30	1.01	Human 1	Human 2	0.70	0.20	0.30	0.42	0.31	0.00	0.55	0.70	77	microsoft/DialoGPT-small	6	10	175	20
0.14	0.25	0.29	0.96	Human 1	Human 2	0.74	0.15	0.26	0.41	0.40	0.51	0.27	0.72	78	microsoft/DialoGPT-small	6	10	175	20
0.14	0.32	0.33	0.79	Human 1	Human 2	0.81	0.18	0.19	0.42	0.27	0.49	0.44	0.95	79	microsoft/DialoGPT-small	6	10	175	20
0.14	0.24	0.26	0.80	Human 1	Human 2	0.88	0.12	0.12	0.37	0.21	0.52	0.19	0.00	80	microsoft/DialoGPT-small	6	10	175	20
0.14	0.31	0.28	1.22	Human 1	Human 2	0.93	0.12	0.07	0.59	0.32	0.34	0.51	1.61	81	microsoft/DialoGPT-small	6	10	175	20
0.15	0.34	0.36	0.72	Human 1	Human 2	0.83	0.19	0.17	0.54	0.37	0.69	0.33	0.35	82	microsoft/DialoGPT-small	6	10	175	20
0.14	0.29	0.40	0.00	Human 1	Human 2	1.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	83	microsoft/DialoGPT-small	6	10	175	20
0.17	0.33	0.38	0.83	Human 1	Human 2	0.85	0.13	0.15	0.55	0.18	0.00	0.51	0.44	84	microsoft/DialoGPT-small	6	10	175	20
0.17	0.31	0.38	1.46	Human 1	Human 2	0.70	0.14	0.30	0.48	0.17	0.00	0.34	0.99	85	microsoft/DialoGPT-small	6	10	175	20
0.14	0.27	0.31	1.37	Human 1	Human 2	0.79	0.13	0.21	0.57	0.44	1.08	0.35	0.63	86	microsoft/DialoGPT-small	6	10	175	20
0.16	0.32	0.33	0.82	Human 1	Human 2	0.68	0.17	0.32	0.51	0.34	0.64	0.46	0.81	87	microsoft/DialoGPT-small	6	10	175	20
0.15	0.33	0.32	1.09	Human 1	Human 2	0.78	0.18	0.22	0.55	0.33	0.52	0.45	0.91	88	microsoft/DialoGPT-small	6	10	175	20
0.13	0.31	0.31	0.59	Human 1	Human 2	0.73	0.17	0.27	0.39	0.27	0.47	0.48	0.91	89	microsoft/DialoGPT-small	6	10	175	20
0.14	0.33	0.29	1.16	Human 1	Human 2	0.88	0.18	0.13	0.64	0.45	1.05	0.35	0.81	90	microsoft/DialoGPT-small	6	10	175	20
0.16	0.36	0.41	1.41	Human 1	Human 2	0.82	0.15	0.18	0.68	0.40	0.83	0.45	0.96	91	microsoft/DialoGPT-small	6	10	175	20
0.12	0.22	0.28	0.62	Human 1	Human 2	0.79	0.11	0.21	0.47	0.41	0.83	0.30	0.45	92	microsoft/DialoGPT-small	6	10	175	20
0.10	0.22	0.21	0.57	Human 1	Human 2	0.81	0.11	0.19	0.42	0.24	0.38	0.29	0.76	93	microsoft/DialoGPT-small	6	10	175	20
0.12	0.26	0.25	0.83	Human 1	Human 2	0.69	0.19	0.31	0.42	0.37	1.04	0.42	1.22	94	microsoft/DialoGPT-small	6	10	175	20
0.18	0.31	0.39	1.03	Human 1	Human 2	0.67	0.19	0.33	0.43	0.23	0.00	0.39	0.99	95	microsoft/DialoGPT-small	6	10	175	20
0.20	0.40	0.46	1.02	Human 1	Human 2	0.87	0.14	0.13	0.55	0.22	0.59	0.56	0.79	0	microsoft/DialoGPT-small	6	10	225	20
0.19	0.34	0.41	0.90	Human 1	Human 2	0.71	0.15	0.29	0.44	0.08	0.00	0.57	0.90	1	microsoft/DialoGPT-small	6	10	225	20
0.16	0.33	0.37	1.26	Human 1	Human 2	0.71	0.19	0.29	0.46	0.32	0.43	0.51	0.78	2	microsoft/DialoGPT-small	6	10	225	20
0.17	0.31	0.34	1.13	Human 1	Human 2	0.87	0.11	0.13	0.78	0.30	0.64	0.38	1.34	3	microsoft/DialoGPT-small	6	10	225	20
0.20	0.36	0.51	1.35	Human 1	Human 2	0.90	0.09	0.10	0.63	0.17	0.00	0.36	0.57	4	microsoft/DialoGPT-small	6	10	225	20
0.15	0.35	0.42	1.39	Human 1	Human 2	0.85	0.13	0.15	0.60	0.23	0.00	0.38	0.82	5	microsoft/DialoGPT-small	6	10	225	20
0.14	0.28	0.29	1.28	Human 1	Human 2	0.74	0.15	0.26	0.39	0.24	0.59	0.29	0.70	6	microsoft/DialoGPT-small	6	10	225	20
0.14	0.28	0.28	0.45	Human 1	Human 2	0.71	0.14	0.29	0.54	0.30	0.85	0.41	0.65	7	microsoft/DialoGPT-small	6	10	225	20
0.16	0.29	0.31	0.86	Human 1	Human 2	0.67	0.20	0.33	0.45	0.38	0.59	0.39	0.80	8	microsoft/DialoGPT-small	6	10	225	20
0.11	0.20	0.23	0.88	Human 1	Human 2	0.62	0.11	0.38	0.48	0.38	1.01	0.34	0.81	9	microsoft/DialoGPT-small	6	10	225	20
0.13	0.28	0.32	0.89	Human 1	Human 2	0.89	0.10	0.11	0.44	0.26	0.40	0.30	0.57	10	microsoft/DialoGPT-small	6	10	225	20
0.12	0.34	0.26	0.59	Human 1	Human 2	0.70	0.23	0.30	0.57	0.39	0.40	0.52	1.26	11	microsoft/DialoGPT-small	6	10	225	20
0.14	0.28	0.30	0.73	Human 1	Human 2	0.83	0.16	0.17	0.47	0.37	0.98	0.34	0.00	12	microsoft/DialoGPT-small	6	10	225	20
0.14	0.31	0.32	0.86	Human 1	Human 2	0.69	0.16	0.31	0.49	0.36	0.50	0.42	1.10	13	microsoft/DialoGPT-small	6	10	225	20
0.17	0.35	0.38	1.14	Human 1	Human 2	0.91	0.13	0.09	0.64	0.38	1.05	0.49	1.18	14	microsoft/DialoGPT-small	6	10	225	20
0.19	0.36	0.39	0.82	Human 1	Human 2	0.85	0.12	0.15	0.58	0.21	0.00	0.39	0.79	15	microsoft/DialoGPT-small	6	10	225	20
0.17	0.33	0.35	1.15	Human 1	Human 2	0.83	0.11	0.17	0.50	0.27	0.76	0.44	0.87	16	microsoft/DialoGPT-small	6	10	225	20
0.14	0.31	0.41	1.62	Human 1	Human 2	0.95	0.05	0.05	0.47	0.25	0.00	0.50	1.49	17	microsoft/DialoGPT-small	6	10	225	20
0.17	0.37	0.37	1.08	Human 1	Human 2	0.77	0.20	0.23	0.53	0.31	0.87	0.46	1.14	18	microsoft/DialoGPT-small	6	10	225	20
0.18	0.41	0.43	0.88	Human 1	Human 2	0.73	0.23	0.27	0.57	0.34	0.35	0.46	0.70	19	microsoft/DialoGPT-small	6	10	225	20
0.14	0.33	0.34	1.47	Human 1	Human 2	0.69	0.21	0.31	0.55	0.41	1.19	0.38	0.86	20	microsoft/DialoGPT-small	6	10	225	20
0.17	0.41	0.45	1.30	Human 1	Human 2	0.80	0.13	0.20	0.68	0.24	0.00	0.59	1.39	21	microsoft/DialoGPT-small	6	10	225	20
0.15	0.34	0.33	1.19	Human 1	Human 2	0.74	0.13	0.26	0.52	0.23	0.00	0.43	1.17	22	microsoft/DialoGPT-small	6	10	225	20
0.16	0.29	0.36	1.07	Human 1	Human 2	0.84	0.09	0.16	0.53	0.36	1.14	0.39	0.32	23	microsoft/DialoGPT-small	6	10	225	20
0.13	0.25	0.31	0.99	Human 1	Human 2	0.69	0.16	0.31	0.32	0.19	0.81	0.33	1.20	24	microsoft/DialoGPT-small	6	10	225	20
0.14	0.36	0.40	1.81	Human 1	Human 2	0.79	0.06	0.21	0.65	0.36	1.43	0.53	1.78	25	microsoft/DialoGPT-small	6	10	225	20
0.17	0.37	0.35	1.20	Human 1	Human 2	0.81	0.13	0.19	0.51	0.18	0.00	0.50	0.88	26	microsoft/DialoGPT-small	6	10	225	20
0.16	0.31	0.35	0.78	Human 1	Human 2	0.77	0.16	0.23	0.42	0.18	0.62	0.43	1.03	27	microsoft/DialoGPT-small	6	10	225	20
0.15	0.27	0.31	0.63	Human 1	Human 2	0.81	0.13	0.19	0.60	0.28	0.51	0.36	0.00	28	microsoft/DialoGPT-small	6	10	225	20
0.13	0.28	0.29	1.22	Human 1	Human 2	0.75	0.16	0.25	0.57	0.44	0.85	0.38	0.83	29	microsoft/DialoGPT-small	6	10	225	20
0.19	0.40	0.39	0.73	Human 1	Human 2	0.83	0.16	0.17	0.55	0.24	0.59	0.49	0.91	30	microsoft/DialoGPT-small	6	10	225	20
0.14	0.32	0.35	1.17	Human 1	Human 2	0.88	0.16	0.13	0.61	0.37	0.77	0.38	0.70	31	microsoft/DialoGPT-small	6	10	225	20
0.13	0.28	0.30	1.17	Human 1	Human 2	0.89	0.09	0.11	0.51	0.23	0.54	0.51	0.85	32	microsoft/DialoGPT-small	6	10	225	20
0.14	0.28	0.27	1.30	Human 1	Human 2	0.79	0.14	0.21	0.51	0.33	0.77	0.32	1.25	33	microsoft/DialoGPT-small	6	10	225	20
0.15	0.32	0.27	1.02	Human 1	Human 2	0.81	0.16	0.19	0.59	0.34	0.49	0.50	1.15	34	microsoft/DialoGPT-small	6	10	225	20
0.19	0.36	0.39	1.08	Human 1	Human 2	0.63	0.25	0.37	0.46	0.27	0.36	0.40	1.02	35	microsoft/DialoGPT-small	6	10	225	20
0.15	0.28	0.39	1.50	Human 1	Human 2	0.88	0.10	0.13	0.49	0.25	0.89	0.25	0.97	36	microsoft/DialoGPT-small	6	10	225	20
0.17	0.36	0.48	1.22	Human 1	Human 2	0.76	0.16	0.24	0.65	0.36	0.62	0.38	0.68	37	microsoft/DialoGPT-small	6	10	225	20
0.17	0.27	0.32	0.81	Human 1	Human 2	0.77	0.18	0.23	0.44	0.31	0.59	0.22	0.50	38	microsoft/DialoGPT-small	6	10	225	20
0.08	0.10	0.15	0.81	Human 1	Human 2	1.00	0.00	0.00	0.56	0.00	0.00	0.00	0.00	39	microsoft/DialoGPT-small	6	10	225	20
0.15	0.40	0.33	0.92	Human 1	Human 2	0.92	0.18	0.08	0.52	0.38	0.88	0.53	1.24	40	microsoft/DialoGPT-small	6	10	225	20
0.15	0.28	0.32	0.97	Human 1	Human 2	0.76	0.15	0.24	0.55	0.28	0.74	0.35	0.39	41	microsoft/DialoGPT-small	6	10	225	20
0.12	0.28	0.27	0.96	Human 1	Human 2	0.73	0.16	0.27	0.53	0.32	0.76	0.34	0.85	42	microsoft/DialoGPT-small	6	10	225	20
0.16	0.37	0.36	1.02	Human 1	Human 2	0.76	0.25	0.24	0.49	0.36	1.01	0.43	1.01	43	microsoft/DialoGPT-small	6	10	225	20
0.12	0.30	0.32	0.86	Human 1	Human 2	0.74	0.17	0.26	0.36	0.17	0.72	0.55	1.43	44	microsoft/DialoGPT-small	6	10	225	20
0.14	0.26	0.30	0.81	Human 1	Human 2	0.72	0.08	0.28	0.38	0.16	0.00	0.47	1.22	45	microsoft/DialoGPT-small	6	10	225	20
0.17	0.32	0.31	1.05	Human 1	Human 2	0.87	0.10	0.13	0.67	0.26	0.33	0.40	0.67	46	microsoft/DialoGPT-small	6	10	225	20
0.13	0.29	0.26	1.14	Human 1	Human 2	0.65	0.13	0.35	0.48	0.25	0.95	0.57	2.15	47	microsoft/DialoGPT-small	6	10	225	20
0.15	0.31	0.35	0.85	Human 1	Human 2	0.90	0.09	0.10	0.51	0.27	0.40	0.43	1.16	48	microsoft/DialoGPT-small	6	10	225	20
0.18	0.30	0.34	1.00	Human 1	Human 2	0.76	0.14	0.24	0.57	0.34	0.64	0.51	0.91	49	microsoft/DialoGPT-small	6	10	225	20
0.15	0.29	0.30	0.47	Human 1	Human 2	0.66	0.19	0.34	0.45	0.26	0.61	0.37	0.00	50	microsoft/DialoGPT-small	6	10	225	20
0.15	0.30	0.30	0.90	Human 1	Human 2	0.86	0.16	0.14	0.60	0.33	0.44	0.51	1.38	51	microsoft/DialoGPT-small	6	10	225	20
0.17	0.35	0.38	1.01	Human 1	Human 2	0.80	0.16	0.20	0.56	0.43	0.66	0.50	0.93	52	microsoft/DialoGPT-small	6	10	225	20
0.20	0.35	0.40	1.08	Human 1	Human 2	0.84	0.18	0.16	0.53	0.41	1.24	0.48	0.53	53	microsoft/DialoGPT-small	6	10	225	20
0.15	0.35	0.37	1.14	Human 1	Human 2	0.91	0.15	0.09	0.61	0.32	0.30	0.42	0.54	54	microsoft/DialoGPT-small	6	10	225	20
0.15	0.34	0.31	1.11	Human 1	Human 2	0.93	0.15	0.07	0.52	0.36	1.07	0.40	1.16	55	microsoft/DialoGPT-small	6	10	225	20
0.16	0.31	0.36	1.19	Human 1	Human 2	0.71	0.18	0.29	0.44	0.29	0.40	0.35	0.58	56	microsoft/DialoGPT-small	6	10	225	20
0.13	0.26	0.25	1.24	Human 1	Human 2	0.76	0.12	0.24	0.51	0.30	0.41	0.44	0.98	57	microsoft/DialoGPT-small	6	10	225	20
0.15	0.27	0.33	0.40	Human 1	Human 2	0.74	0.18	0.26	0.40	0.30	1.15	0.21	0.00	58	microsoft/DialoGPT-small	6	10	225	20
0.15	0.32	0.37	0.86	Human 1	Human 2	0.80	0.19	0.20	0.53	0.42	0.82	0.40	0.32	59	microsoft/DialoGPT-small	6	10	225	20
0.14	0.27	0.28	0.81	Human 1	Human 2	0.79	0.16	0.21	0.48	0.34	0.96	0.29	0.44	60	microsoft/DialoGPT-small	6	10	225	20
0.13	0.29	0.31	1.40	Human 1	Human 2	0.85	0.14	0.15	0.67	0.41	0.91	0.40	1.78	61	microsoft/DialoGPT-small	6	10	225	20
0.18	0.37	0.45	1.48	Human 1	Human 2	0.64	0.20	0.36	0.55	0.27	0.62	0.52	1.13	62	microsoft/DialoGPT-small	6	10	225	20
0.16	0.32	0.33	0.80	Human 1	Human 2	0.83	0.10	0.18	0.63	0.37	0.56	0.49	0.54	63	microsoft/DialoGPT-small	6	10	225	20
0.16	0.35	0.39	1.24	Human 1	Human 2	0.76	0.14	0.24	0.52	0.28	0.00	0.50	1.18	64	microsoft/DialoGPT-small	6	10	225	20
0.15	0.31	0.31	0.68	Human 1	Human 2	0.83	0.17	0.17	0.49	0.28	0.75	0.23	0.00	65	microsoft/DialoGPT-small	6	10	225	20
0.13	0.30	0.31	1.05	Human 1	Human 2	0.83	0.14	0.17	0.51	0.35	0.46	0.36	0.73	66	microsoft/DialoGPT-small	6	10	225	20
0.12	0.25	0.26	0.93	Human 1	Human 2	0.54	0.19	0.46	0.33	0.26	0.61	0.40	0.86	67	microsoft/DialoGPT-small	6	10	225	20
0.18	0.34	0.36	1.29	Human 1	Human 2	0.85	0.17	0.15	0.60	0.37	0.97	0.42	0.79	68	microsoft/DialoGPT-small	6	10	225	20
0.14	0.31	0.32	0.88	Human 1	Human 2	0.64	0.22	0.36	0.46	0.41	0.96	0.34	0.38	69	microsoft/DialoGPT-small	6	10	225	20
0.15	0.30	0.30	0.16	Human 1	Human 2	0.83	0.19	0.17	0.45	0.29	0.00	0.39	0.53	70	microsoft/DialoGPT-small	6	10	225	20
0.17	0.29	0.33	0.80	Human 1	Human 2	0.68	0.16	0.32	0.43	0.23	0.50	0.36	0.39	71	microsoft/DialoGPT-small	6	10	225	20
0.10	0.23	0.20	0.79	Human 1	Human 2	0.76	0.14	0.24	0.55	0.38	0.69	0.41	0.33	72	microsoft/DialoGPT-small	6	10	225	20
0.14	0.27	0.32	1.21	Human 1	Human 2	0.94	0.06	0.06	0.59	0.21	0.43	0.48	1.41	73	microsoft/DialoGPT-small	6	10	225	20
0.13	0.23	0.29	1.32	Human 1	Human 2	0.87	0.11	0.13	0.31	0.17	0.86	0.53	1.14	74	microsoft/DialoGPT-small	6	10	225	20
0.17	0.32	0.36	1.10	Human 1	Human 2	0.81	0.11	0.19	0.45	0.29	0.76	0.37	0.48	75	microsoft/DialoGPT-small	6	10	225	20
0.16	0.27	0.29	0.47	Human 1	Human 2	0.79	0.10	0.21	0.43	0.17	0.72	0.37	0.54	76	microsoft/DialoGPT-small	6	10	225	20
0.18	0.38	0.35	0.82	Human 1	Human 2	0.83	0.20	0.17	0.52	0.31	0.00	0.43	0.69	77	microsoft/DialoGPT-small	6	10	225	20
0.15	0.31	0.28	1.31	Human 1	Human 2	0.76	0.15	0.24	0.56	0.40	0.51	0.40	1.43	78	microsoft/DialoGPT-small	6	10	225	20
0.17	0.35	0.38	1.32	Human 1	Human 2	0.75	0.18	0.25	0.48	0.27	0.49	0.52	1.14	79	microsoft/DialoGPT-small	6	10	225	20
0.15	0.29	0.32	0.97	Human 1	Human 2	0.73	0.17	0.27	0.40	0.21	0.52	0.39	0.30	80	microsoft/DialoGPT-small	6	10	225	20
0.16	0.34	0.37	1.09	Human 1	Human 2	0.86	0.15	0.14	0.56	0.32	0.34	0.38	0.49	81	microsoft/DialoGPT-small	6	10	225	20
0.15	0.34	0.35	0.65	Human 1	Human 2	0.81	0.16	0.19	0.57	0.37	0.69	0.37	0.80	82	microsoft/DialoGPT-small	6	10	225	20
0.14	0.29	0.40	0.00	Human 1	Human 2	1.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	83	microsoft/DialoGPT-small	6	10	225	20
0.15	0.32	0.32	1.05	Human 1	Human 2	0.77	0.12	0.23	0.53	0.18	0.00	0.52	0.99	84	microsoft/DialoGPT-small	6	10	225	20
0.14	0.29	0.27	1.50	Human 1	Human 2	0.70	0.10	0.30	0.47	0.17	0.00	0.46	1.46	85	microsoft/DialoGPT-small	6	10	225	20
0.11	0.26	0.26	0.79	Human 1	Human 2	0.88	0.13	0.12	0.53	0.44	1.08	0.56	1.43	86	microsoft/DialoGPT-small	6	10	225	20
0.16	0.30	0.33	0.94	Human 1	Human 2	0.64	0.17	0.36	0.53	0.34	0.64	0.50	0.66	87	microsoft/DialoGPT-small	6	10	225	20
0.18	0.39	0.42	1.29	Human 1	Human 2	0.74	0.18	0.26	0.68	0.33	0.52	0.50	0.77	88	microsoft/DialoGPT-small	6	10	225	20
0.13	0.27	0.24	0.76	Human 1	Human 2	0.84	0.14	0.16	0.39	0.27	0.47	0.31	0.45	89	microsoft/DialoGPT-small	6	10	225	20
0.13	0.38	0.37	1.39	Human 1	Human 2	0.69	0.24	0.31	0.65	0.45	1.05	0.49	1.15	90	microsoft/DialoGPT-small	6	10	225	20
0.15	0.32	0.33	0.92	Human 1	Human 2	0.78	0.17	0.22	0.56	0.40	0.83	0.41	1.29	91	microsoft/DialoGPT-small	6	10	225	20
0.15	0.28	0.34	1.05	Human 1	Human 2	0.72	0.14	0.28	0.53	0.41	0.83	0.53	1.55	92	microsoft/DialoGPT-small	6	10	225	20
0.16	0.25	0.31	0.58	Human 1	Human 2	0.87	0.09	0.13	0.60	0.24	0.38	0.27	1.00	93	microsoft/DialoGPT-small	6	10	225	20
0.11	0.24	0.23	0.79	Human 1	Human 2	0.79	0.11	0.21	0.53	0.37	1.04	0.44	0.90	94	microsoft/DialoGPT-small	6	10	225	20
0.16	0.36	0.38	0.95	Human 1	Human 2	0.72	0.20	0.28	0.48	0.23	0.00	0.52	1.08	95	microsoft/DialoGPT-small	6	10	225	20
0.12	0.29	0.28	0.75	Human 1	Human 2	0.68	0.18	0.32	0.38	0.22	0.59	0.50	0.69	0	microsoft/DialoGPT-small	6	10	275	20
0.17	0.35	0.43	0.82	Human 1	Human 2	0.76	0.12	0.24	0.48	0.08	0.00	0.55	1.18	1	microsoft/DialoGPT-small	6	10	275	20
0.17	0.34	0.39	0.98	Human 1	Human 2	0.89	0.10	0.11	0.60	0.32	0.43	0.42	0.85	2	microsoft/DialoGPT-small	6	10	275	20
0.13	0.23	0.23	1.03	Human 1	Human 2	0.88	0.09	0.12	0.52	0.30	0.64	0.23	0.00	3	microsoft/DialoGPT-small	6	10	275	20
0.16	0.28	0.32	1.24	Human 1	Human 2	0.93	0.02	0.07	0.69	0.17	0.00	0.31	0.76	4	microsoft/DialoGPT-small	6	10	275	20
0.16	0.36	0.39	0.76	Human 1	Human 2	0.82	0.15	0.18	0.59	0.23	0.00	0.46	0.85	5	microsoft/DialoGPT-small	6	10	275	20
0.16	0.32	0.35	1.01	Human 1	Human 2	0.88	0.15	0.12	0.41	0.24	0.59	0.38	0.24	6	microsoft/DialoGPT-small	6	10	275	20
0.13	0.33	0.28	0.62	Human 1	Human 2	0.65	0.15	0.35	0.58	0.30	0.85	0.57	0.65	7	microsoft/DialoGPT-small	6	10	275	20
0.13	0.30	0.28	1.00	Human 1	Human 2	0.88	0.12	0.12	0.64	0.38	0.59	0.39	1.62	8	microsoft/DialoGPT-small	6	10	275	20
0.09	0.27	0.23	0.81	Human 1	Human 2	0.77	0.13	0.23	0.64	0.38	1.01	0.46	1.09	9	microsoft/DialoGPT-small	6	10	275	20
0.14	0.35	0.35	1.18	Human 1	Human 2	0.79	0.16	0.21	0.48	0.26	0.40	0.43	0.76	10	microsoft/DialoGPT-small	6	10	275	20
0.13	0.29	0.31	0.98	Human 1	Human 2	0.86	0.13	0.14	0.66	0.39	0.40	0.39	0.43	11	microsoft/DialoGPT-small	6	10	275	20
0.13	0.30	0.29	0.95	Human 1	Human 2	0.89	0.10	0.11	0.60	0.37	0.98	0.49	0.68	12	microsoft/DialoGPT-small	6	10	275	20
0.18	0.32	0.34	0.77	Human 1	Human 2	0.74	0.13	0.26	0.52	0.36	0.50	0.44	0.72	13	microsoft/DialoGPT-small	6	10	275	20
0.15	0.28	0.28	0.86	Human 1	Human 2	0.77	0.18	0.23	0.43	0.38	1.05	0.38	0.57	14	microsoft/DialoGPT-small	6	10	275	20
0.19	0.34	0.40	1.31	Human 1	Human 2	0.87	0.06	0.13	0.61	0.21	0.00	0.47	0.91	15	microsoft/DialoGPT-small	6	10	275	20
0.17	0.39	0.39	1.50	Human 1	Human 2	0.79	0.16	0.21	0.53	0.27	0.76	0.46	1.30	16	microsoft/DialoGPT-small	6	10	275	20
0.17	0.31	0.36	1.11	Human 1	Human 2	0.84	0.10	0.16	0.46	0.25	0.00	0.39	1.14	17	microsoft/DialoGPT-small	6	10	275	20
0.16	0.41	0.41	1.26	Human 1	Human 2	0.81	0.09	0.19	0.76	0.31	0.87	0.61	1.77	18	microsoft/DialoGPT-small	6	10	275	20
0.18	0.39	0.41	1.41	Human 1	Human 2	0.78	0.18	0.23	0.56	0.34	0.35	0.42	1.09	19	microsoft/DialoGPT-small	6	10	275	20
0.14	0.30	0.30	1.35	Human 1	Human 2	0.71	0.17	0.29	0.56	0.41	1.19	0.40	1.12	20	microsoft/DialoGPT-small	6	10	275	20
0.19	0.42	0.46	0.75	Human 1	Human 2	0.78	0.22	0.22	0.63	0.24	0.00	0.56	1.25	21	microsoft/DialoGPT-small	6	10	275	20
0.16	0.33	0.36	1.07	Human 1	Human 2	0.81	0.10	0.19	0.56	0.23	0.00	0.38	0.86	22	microsoft/DialoGPT-small	6	10	275	20
0.16	0.31	0.36	1.19	Human 1	Human 2	0.80	0.14	0.20	0.55	0.36	1.14	0.41	1.12	23	microsoft/DialoGPT-small	6	10	275	20
0.12	0.27	0.24	0.94	Human 1	Human 2	0.71	0.16	0.29	0.35	0.19	0.81	0.42	0.59	24	microsoft/DialoGPT-small	6	10	275	20
0.16	0.33	0.38	1.73	Human 1	Human 2	0.73	0.08	0.27	0.56	0.36	1.43	0.49	1.70	25	microsoft/DialoGPT-small	6	10	275	20
0.17	0.37	0.39	1.19	Human 1	Human 2	0.87	0.12	0.13	0.52	0.18	0.00	0.38	1.62	26	microsoft/DialoGPT-small	6	10	275	20
0.16	0.29	0.33	0.91	Human 1	Human 2	0.79	0.11	0.21	0.43	0.18	0.62	0.48	0.81	27	microsoft/DialoGPT-small	6	10	275	20
0.15	0.27	0.29	0.93	Human 1	Human 2	0.87	0.11	0.13	0.63	0.28	0.51	0.41	0.83	28	microsoft/DialoGPT-small	6	10	275	20
0.13	0.31	0.30	0.49	Human 1	Human 2	0.82	0.18	0.18	0.59	0.44	0.85	0.36	0.00	29	microsoft/DialoGPT-small	6	10	275	20
0.21	0.34	0.46	0.90	Human 1	Human 2	0.83	0.15	0.17	0.49	0.24	0.59	0.31	0.68	30	microsoft/DialoGPT-small	6	10	275	20
0.14	0.30	0.34	1.08	Human 1	Human 2	0.87	0.14	0.13	0.61	0.37	0.77	0.38	0.57	31	microsoft/DialoGPT-small	6	10	275	20
0.17	0.37	0.39	1.24	Human 1	Human 2	0.81	0.15	0.19	0.58	0.23	0.54	0.50	0.80	32	microsoft/DialoGPT-small	6	10	275	20
0.13	0.24	0.27	0.71	Human 1	Human 2	0.81	0.13	0.19	0.43	0.33	0.77	0.22	0.50	33	microsoft/DialoGPT-small	6	10	275	20
0.12	0.29	0.26	1.08	Human 1	Human 2	0.85	0.13	0.15	0.53	0.34	0.49	0.30	1.16	34	microsoft/DialoGPT-small	6	10	275	20
0.18	0.35	0.40	0.89	Human 1	Human 2	0.75	0.19	0.25	0.51	0.27	0.36	0.46	1.02	35	microsoft/DialoGPT-small	6	10	275	20
0.14	0.27	0.30	0.40	Human 1	Human 2	0.68	0.22	0.32	0.30	0.25	0.89	0.21	0.00	36	microsoft/DialoGPT-small	6	10	275	20
0.18	0.36	0.40	1.35	Human 1	Human 2	0.81	0.16	0.19	0.66	0.36	0.62	0.52	1.10	37	microsoft/DialoGPT-small	6	10	275	20
0.09	0.21	0.20	0.86	Human 1	Human 2	0.83	0.08	0.17	0.57	0.31	0.59	0.34	0.70	38	microsoft/DialoGPT-small	6	10	275	20
0.08	0.10	0.15	0.81	Human 1	Human 2	1.00	0.00	0.00	0.63	0.00	0.00	0.00	0.00	39	microsoft/DialoGPT-small	6	10	275	20
0.17	0.33	0.36	0.76	Human 1	Human 2	0.90	0.13	0.10	0.52	0.38	0.88	0.46	0.90	40	microsoft/DialoGPT-small	6	10	275	20
0.16	0.29	0.34	1.39	Human 1	Human 2	0.83	0.08	0.17	0.69	0.28	0.74	0.44	0.77	41	microsoft/DialoGPT-small	6	10	275	20
0.13	0.33	0.28	0.57	Human 1	Human 2	0.74	0.21	0.26	0.57	0.32	0.76	0.42	0.65	42	microsoft/DialoGPT-small	6	10	275	20
0.14	0.37	0.39	1.50	Human 1	Human 2	0.96	0.17	0.04	0.62	0.36	1.01	0.32	0.99	43	microsoft/DialoGPT-small	6	10	275	20
0.14	0.32	0.34	1.07	Human 1	Human 2	0.77	0.15	0.23	0.40	0.17	0.72	0.54	1.58	44	microsoft/DialoGPT-small	6	10	275	20
0.12	0.29	0.27	1.10	Human 1	Human 2	0.67	0.19	0.33	0.33	0.16	0.00	0.47	0.86	45	microsoft/DialoGPT-small	6	10	275	20
0.20	0.29	0.35	0.65	Human 1	Human 2	0.89	0.08	0.11	0.68	0.26	0.33	0.37	0.61	46	microsoft/DialoGPT-small	6	10	275	20
0.18	0.33	0.34	1.27	Human 1	Human 2	0.79	0.12	0.21	0.56	0.25	0.95	0.39	1.14	47	microsoft/DialoGPT-small	6	10	275	20
0.18	0.39	0.45	0.95	Human 1	Human 2	0.84	0.12	0.16	0.61	0.27	0.40	0.55	0.58	48	microsoft/DialoGPT-small	6	10	275	20
0.15	0.29	0.30	0.56	Human 1	Human 2	0.68	0.21	0.32	0.42	0.34	0.64	0.39	0.36	49	microsoft/DialoGPT-small	6	10	275	20
0.16	0.30	0.35	1.15	Human 1	Human 2	0.72	0.16	0.28	0.55	0.26	0.61	0.36	0.90	50	microsoft/DialoGPT-small	6	10	275	20
0.15	0.33	0.34	1.20	Human 1	Human 2	0.83	0.16	0.18	0.64	0.33	0.44	0.44	0.49	51	microsoft/DialoGPT-small	6	10	275	20
0.14	0.30	0.33	1.37	Human 1	Human 2	0.87	0.10	0.13	0.56	0.43	0.66	0.47	1.38	52	microsoft/DialoGPT-small	6	10	275	20
